Country.Name,Country.Code,Indicator.Name,Indicator.Code,Year,Level
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,259319.239
Canada,CAN,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
Canada,CAN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,7.748823062
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,344.698
Cameroon,CMR,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
Cameroon,CMR,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,16.50060291
Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,77729.399
Spain,ESP,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
Spain,ESP,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,64.34030974
Indonesia,IDN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,23395.46
Indonesia,IDN,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
Indonesia,IDN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,21.22468356
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,171765.947
India,IND,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
India,IND,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,59.71027751
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,2684.244
Kenya,KEN,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
Kenya,KEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,44.32125663
Mexico,MEX,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,80930.69
Mexico,MEX,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
Mexico,MEX,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,50.36857944
Nicaragua,NIC,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,960.754
Nicaragua,NIC,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
Nicaragua,NIC,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,29.74904437
Norway,NOR,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,19563.445
Norway,NOR,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
Norway,NOR,Agricultural land (% of land area),AG.LND.AGRI.ZS,X1966,2.751585359
Pakistan,PAK,CO2 emissions (kt),EN.ATM.CO2E.KT,X1966,20326.181
Pakistan,PAK,Forest area (% of land area),AG.LND.FRST.ZS,X1966,NA
